Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
29,Female,37453,UK,Student,17,12,Console,Final Fantasy XIV,FPS,Too grindy,3,3,Trading,4,18,Subscription,38,No,"Supporting devs,Social reasons,Progression boost","Technical barriers,Toxicity",4,3,No,Yes
22,Female,45296,UK,Student,1,0,PC,Final Fantasy XIV,MMORPG,"Lack of innovation,Technical issues",3,2,"PvP,Social systems",4,4,Freemium,0,No,"Supporting devs,Cosmetics,Progression boost","Time commitment,Other,Complexity",5,3,No,Maybe
26,Female,19685,UK,Employed,7,6,PC,Lost Ark,MMORPG,"Pay-to-win,Technical issues",2,4,"Crafting,Trading,PvE",3,9,Free-to-play,21,No,Other,"Time commitment,Complexity",5,3,No,Maybe
18,Male,60552,Australia,Employed,2,6,PC,,MMORPG,"Other,Pay-to-win,Poor community",2,2,Trading,4,17,Free-to-play,122,No,"Social reasons,Cosmetics,Progression boost",Technical barriers,3,3,No,Maybe
16,Female,28003,USA,Employed,8,10,PC,,FPS,"Too grindy,Lack of innovation,Toxicity",4,2,Endgame content,3,8,Buy-to-play,12,Yes,Social reasons,Other,4,5,No,Yes
32,Male,26380,Australia,Unemployed,9,7,Console,Guild Wars 2,MMORPG,Too grindy,4,3,"Story,Social systems,PvP",3,3,Free-to-play,0,No,Exclusive content,Technical barriers,4,5,No,Yes
25,Male,66288,Brazil,Self-employed,14,3,Console,Elder Scrolls Online,MMORPG,"Toxicity,Pay-to-win,Technical issues",4,5,"Trading,Exploration,Endgame content",3,24,Subscription,0,No,Progression boost,Time commitment,4,4,Yes,No
23,Male,42019,USA,Employed,1,5,Multiple,Lost Ark,MMORPG,Technical issues,4,5,"Social systems,Trading,Exploration",3,5,Freemium,34,No,"Social reasons,Progression boost",Time commitment,4,4,No,Yes
22,Male,51877,USA,Employed,12,9,PC,Lost Ark,Strategy,Repetitive quests,3,3,Trading,2,0,Free-to-play,138,No,Social reasons,"Time commitment,Other,Technical barriers",4,4,No,Maybe
24,Female,19777,Germany,Student,8,4,PC,Other,MMORPG,"Technical issues,Toxicity",3,3,"Exploration,Customization",4,27,Subscription,122,No,"Progression boost,Other","Complexity,Time commitment",4,3,No,No
16,Female,39606,India,Employed,12,15,PC,Final Fantasy XIV,Casual,Pay-to-win,3,4,"Trading,Customization,PvP",2,2,Free-to-play,248,Yes,Social reasons,"Technical barriers,Other,Toxicity",4,4,No,Yes
19,Female,80934,UK,Employed,1,8,PC,Final Fantasy XIV,MMORPG,"Pay-to-win,Too grindy,Technical issues",5,3,Endgame content,3,12,Freemium,34,Maybe,"Cosmetics,Progression boost","Technical barriers,Toxicity",2,4,No,Maybe
18,Female,203432,Other,Student,4,12,PC,Final Fantasy XIV,MOBA,Technical issues,3,3,"Trading,Story",3,2,Subscription,129,No,Exclusive content,"Lack of friends,Toxicity,Time commitment",5,2,Yes,Maybe
27,Female,45704,Brazil,Employed,18,1,PC,Final Fantasy XIV,Other,"Poor community,Technical issues,Too grindy",2,4,"Endgame content,Crafting",3,14,Free-to-play,145,Maybe,Cosmetics,Other,3,4,Yes,Yes
28,Female,28080,Germany,Employed,26,7,Multiple,Elder Scrolls Online,Other,Toxicity,2,4,Crafting,2,18,Free-to-play,250,No,"Progression boost,Cosmetics,Other","Time commitment,Lack of friends,Other",3,4,No,Yes
